Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9871937639198218,0.9832519190509421,0.9899297423887587,0.986579530867079
Naive Bayes,0.9516703786191537,0.9487599438465139,0.949648711943794,0.9492041198501874
Linear SVM,0.99543429844098,0.9941575134377191,0.9962529274004683,0.9952041174406362
Random Forest,0.9938752783964365,0.9927519289221417,0.9943793911007026,0.9935649935649935
